ean_hotel_id,name,address1,city,state_province,postal_code,latitude,longitude,star_rating,high_rate,low_rate
152226,Rodeway Inn & Suites,1951 Niagara Falls Blvd,Amherst,NY,14228,43.00753,-78.82217,1.5,58.81,46.02
364655,University Manor Inn,3612 Main Street,Amherst,NY,14226,42.95907,-78.8151,2,109.99,79.99
498900,Hyatt Place Buffalo/Amherst,5020 Main Street,Amherst,NY,14226,42.95934,-78.76993,3,224.17,199.67
312059,Candlewood Suites Buffalo - Amherst,20 Flint Road,Amherst,NY,14226,42.99032,-78.79228,2.5,150.37,94.37
208593,Super 8 - Amsterdam,5502 Rte 30 South I 90 Exit 27,Amsterdam,NY,12010,42.92563,-74.20226,2,71.9986,67.0047
562127,Knights Inn Amsterdam,Route 5S,Amsterdam,NY,12010,42.92894,-74.2007,2.5,99.0099,59.006
433086,Comfort Inn,7662 State Rte 434,Apalachin,NY,13732,42.0611,-76.1436,2.5,81.42,80.42
233290,Quality Inn Binghamton West,7666 Route 434,Apalachin,NY,13732,42.05989,-76.14391,2.5,71.4,70.4
226561,Ardsley Acres Hotel Westchester,560 Saw Mill River Rd,Ardsley,NY,10502,41.00869,-73.85151,2,101.35,100.35
106923,La Quinta inn & Suites Armonk Westchester County Airport,94 Business Park Dr,Armonk,NY,10504,41.11965,-73.70825,2.5,100.45,95.45
252608,Fairfield Inn by Marriott New York LaGuardia Airport/Astoria,45-20 Astoria Blvd.,Astoria,NY,11103,40.76791,-73.90563,2.5,169.35,159.35
224415,"Super 8 Long Island City, LGA Hotel",31-62 14th Street,Astoria,NY,11106,40.76679,-73.93348,2,211.0229,102.0041
515540,Stewart House at the Athens Hotel,2 North Water Street,Athens,NY,12015,42.25984,-73.808,3,349.0528,249.0377
410019,Hilton Garden Inn Auburn,74 State St,Auburn,NY,13021,42.93311,-76.56947,3,139.46,109.46
124395,Days Inn Auburn Fingerlakes,37 William St,Auburn,NY,13021,42.92832,-76.56631,2,74.33,70.33
201347,Auburn Inn,19 McMaster St,Auburn,NY,13021,42.93204,-76.57378,2,75.48,65.48
107975,Holiday Inn Auburn-Finger Lakes Region,75 North St,Auburn,NY,13021,42.93461,-76.56636,3,174.45,143.45
538682,Skaneateles Suites,4114 E Genesee Street,Auburn,NY,13152,42.94288,-76.46947,2.5,225.08,150.06
634158,Inn at the Finger Lakes,12 Seminary Ave,Auburn,NY,13021,42.93424,-76.56229,2.5,109.41,71.41
259087,The Red Mill Inn,4 Syracuse St,Baldwinsville,NY,13027,43.15613,-76.33204,2.5,139.18,59.19
195601,Microtel Inn & Suites by Wyndham Baldwinsville/Syracuse,131 Downer St,Baldwinsville,NY,13027,43.15128,-76.34533,2,80.44,59.49
484688,Baldwinsville Bed and Breakfast,70 Oswego Street,Baldwinsville,NY,13027,43.16099,-76.3338,3.5,120.17,119.17
276724,Roosevelt Inn And Suites,2961 State Route 9,Ballston Spa,NY,12020,43.02713,-73.79237,2.5,389.22,327.55
538573,Catskill Mountains Resort,211 Mail Rd,Barryville,NY,12719,41.50764,-74.92298,2,223.4838,170.6404
218706,Hampton Inn Batavia,4360 Commerce Dr,Batavia,NY,14020,43.02006,-78.19425,2.5,129.38,89.38
177921,Best Western Crown Inn & Suites,8210 Park Rd,Batavia,NY,14020,43.01656,-78.19554,2.5,79.99,62.99
411011,Holiday Inn Express Hotel & Suites Batavia - Darien Lake,4356 Commerce Dr,Batavia,NY,14020,43.01978,-78.19434,2.5,114.47,94.47
137866,Comfort Inn,4371 Federal Dr,Batavia,NY,14020,43.021,-78.19271,2.5,74.31,74
229344,La Quinta Inn & Suites Batavia,8200 Park Rd,Batavia,NY,14020,43.01609,-78.19222,2.5,89.38,79.38
149424,Quality Inn & Suites Palm Island Indoor Waterpark,8250 Park Rd,Batavia,NY,14020,43.01639,-78.1941,3,74.31,73.31
209876,Red Roof Inn Batavia,8204 Park Rd,Batavia,NY,14020,43.01609,-78.19231,2,64.48,63.48
201529,Super 8 Batavia E Of Darien Lake Theme Park,200a Oak St,Batavia,NY,14020,43.01459,-78.19207,2,107.99,57.99
128681,Days Inn Batavia,200 Oak St,Batavia,NY,14020,43.01458,-78.19207,2,90.15,51.16
260324,Microtel Inn & Suites by Wyndham Bath,370 W Morris Street,Bath,NY,14810,42.3396,-77.33433,2.5,77.15,57
201355,Super 8 Bath Hammondsport Area,333 W Morris Street,Bath,NY,14810,42.33619,-77.32942,2,62,52
